-0.121528 1.001570 0.001001
-0.114583 1.005489 0.001002
-0.107639 1.002346 0.001000
-0.100694 1.001828 0.001000
-0.093750 1.000740 0.001001
-0.086806 0.996924 0.001000
-0.079861 1.004121 0.001001
-0.072917 1.001294 0.001000
-0.065972 1.004146 0.001001
-0.059028 0.997250 0.000999
-0.052083 1.000311 0.000994
-0.045139 0.991696 0.000981
-0.038194 0.987642 0.000973
-0.031250 0.983900 0.000971
-0.024306 0.982105 0.000970
-0.017361 0.985832 0.000968
-0.010417 0.988376 0.000969
-0.003472 0.979973 0.000966
0.003472  0.984302 0.000968
0.010417  0.981882 0.000969
0.017361  0.980746 0.000967
0.024306  0.980524 0.000968
0.031250  0.984438 0.000968
0.038194  0.984592 0.000972
0.045139  0.983499 0.000974
0.052083  0.994531 0.000982
0.059028  0.995427 0.000993
0.065972  0.996013 0.000999
0.072917  1.000336 0.001000
0.079861  1.002844 0.001001
0.086806  0.996083 0.000999
0.093750  0.997710 0.000999
0.100694  1.000819 0.001001
0.107639  1.000108 0.001000
0.114583  0.999726 0.000999
0.121528  0.998579 0.000998
