-0.121528 1.001 0.001002
-0.114583 1.0   0.001001
-0.107639 1.003 0.001000
-0.100694 0.997 0.001000
-0.093750 0.995 0.001000
-0.086806 1.0   0.001000
-0.079861 0.997 0.000998
-0.072917 1.004 0.000999
-0.065972 0.995 0.000999
-0.059028 1.005 0.001000
-0.052083 1.001 0.000994
-0.045139 0.998 0.000982
-0.038194 0.999 0.000974
-0.031250 1.0   0.000971
-0.024306 1.002 0.000970
-0.017361 1.001 0.000967
-0.010417 1.004 0.000967
-0.003472 0.999 0.000968
0.003472  1.003 0.000967
0.010417  1.004 0.000968
0.017361  1.003 0.000967
0.024306  0.999 0.000969
0.031250  0.998 0.000971
0.038194  1.005 0.000971
0.045139  1.004 0.000974
0.052083  1.002 0.000981
0.059028  1.001 0.000993
0.065972  0.997 0.001000
0.072917  0.999 0.000999
0.079861  0.996 0.001001
0.086806  1.005 0.001000
0.093750  0.998 0.001000
0.100694  0.997 0.001001
0.107639  1.003 0.001000
0.114583  0.998 0.001000
0.121528  0.996 0.001001
